amino_acid,estimate,condition,cost_type
ala,4.99999,nit,abs
arg,20.0005,nit,abs
asn,10,nit,abs
asp,4.99996,nit,abs
cys,5.00167,nit,abs
gln,10.0004,nit,abs
glu,4.99999,nit,abs
gly,5.00001,nit,abs
his,14.9999,nit,abs
ile,5.00411,nit,abs
leu,4.99981,nit,abs
lys,10,nit,abs
met,4.99997,nit,abs
phe,5.00032,nit,abs
pro,5.00012,nit,abs
ser,4.99991,nit,abs
thr,5.00001,nit,abs
trp,9.99939,nit,abs
tyr,4.99996,nit,abs
val,4.99997,nit,abs
ala,0.02294,nit,rel
arg,0.0321407,nit,rel
asn,0.01017,nit,rel
asp,0.0148749,nit,rel
cys,0.00033011,nit,rel
gln,0.0105404,nit,rel
glu,0.01509,nit,rel
gly,0.01452,nit,rel
his,0.00994496,nit,rel
ile,0.00964293,nit,rel
leu,0.0148194,nit,rel
lys,0.0286201,nit,rel
met,0.00253498,nit,rel
phe,0.00669543,nit,rel
pro,0.00823519,nit,rel
ser,0.00926983,nit,rel
thr,0.00957003,nit,rel
trp,0.00283983,nit,rel
tyr,0.00509996,nit,rel
val,0.0132299,nit,rel
ala,2.50005,car,abs
arg,6.96484,car,abs
asn,3.92904,car,abs
asp,3.07215,car,abs
cys,3.80496,car,abs
gln,4.60794,car,abs
glu,4.32146,car,abs
gly,1.53572,car,abs
his,7.30842,car,abs
ile,6.0362,car,abs
leu,6.03577,car,abs
lys,6.57164,car,abs
met,6.25041,car,abs
phe,9.18754,car,abs
pro,4.96506,car,abs
ser,2.46805,car,abs
thr,3.42864,car,abs
trp,11.9646,car,abs
tyr,8.86861,car,abs
val,4.78575,car,abs
ala,0.0114702,car,rel
arg,0.0111925,car,rel
asn,0.00399583,car,rel
asp,0.00913963,car,rel
cys,0.000251128,car,rel
gln,0.00485677,car,rel
glu,0.0130422,car,rel
gly,0.00445974,car,rel
his,0.00484548,car,rel
ile,0.0116318,car,rel
leu,0.01789,car,rel
lys,0.018808,car,rel
met,0.00316896,car,rel
phe,0.0123021,car,rel
pro,0.00817745,car,rel
ser,0.00457577,car,rel
thr,0.00656241,car,rel
trp,0.00339795,car,rel
tyr,0.00904599,car,rel
val,0.0126631,car,rel
ala,-1.38E-05,phos,abs
arg,-9.01E-06,phos,abs
asn,-8.97E-05,phos,abs
asp,-9.45E-05,phos,abs
cys,-0.0018141,phos,abs
gln,0.000210179,phos,abs
glu,-0.0001145,phos,abs
gly,-4.50E-06,phos,abs
his,-0.000182529,phos,abs
ile,5.63E-06,phos,abs
leu,1.89E-05,phos,abs
lys,5.34E-06,phos,abs
met,0.000110226,phos,abs
phe,0.000110646,phos,abs
pro,3.82E-05,phos,abs
ser,-4.66E-05,phos,abs
thr,6.95E-05,phos,abs
trp,0.000175542,phos,abs
tyr,4.91E-05,phos,abs
val,-2.57E-05,phos,abs
ala,-6.35E-08,phos,rel
arg,-1.45E-08,phos,rel
asn,-9.13E-08,phos,rel
asp,-2.81E-07,phos,rel
cys,-1.20E-07,phos,rel
gln,2.22E-07,phos,rel
glu,-3.46E-07,phos,rel
gly,-1.31E-08,phos,rel
his,-1.21E-07,phos,rel
ile,1.09E-08,phos,rel
leu,5.61E-08,phos,rel
lys,1.53E-08,phos,rel
met,5.59E-08,phos,rel
phe,1.48E-07,phos,rel
pro,6.29E-08,phos,rel
ser,-8.64E-08,phos,rel
thr,1.33E-07,phos,rel
trp,4.99E-08,phos,rel
tyr,5.01E-08,phos,rel
val,-6.79E-08,phos,rel
ala,-2.22E-06,sul,abs
arg,5.59E-07,sul,abs
asn,1.07E-05,sul,abs
asp,-1.27E-05,sul,abs
cys,5.00058,sul,abs
gln,2.98E-06,sul,abs
glu,1.39E-06,sul,abs
gly,-1.90E-05,sul,abs
his,4.74E-06,sul,abs
ile,-1.01E-06,sul,abs
leu,2.07E-06,sul,abs
lys,-1.67E-06,sul,abs
met,5.00001,sul,abs
phe,-6.70E-06,sul,abs
pro,-2.91E-06,sul,abs
ser,2.42E-06,sul,abs
thr,2.27E-06,sul,abs
trp,-1.00E-05,sul,abs
tyr,1.47E-06,sul,abs
val,-1.81E-06,sul,abs
ala,-1.02E-08,sul,rel
arg,8.98E-10,sul,rel
asn,1.09E-08,sul,rel
asp,-3.77E-08,sul,rel
cys,0.000330038,sul,rel
gln,3.14E-09,sul,rel
glu,4.19E-09,sul,rel
gly,-5.52E-08,sul,rel
his,3.14E-09,sul,rel
ile,-1.94E-09,sul,rel
leu,6.13E-09,sul,rel
lys,-4.79E-09,sul,rel
met,0.002535,sul,rel
phe,-8.98E-09,sul,rel
pro,-4.79E-09,sul,rel
ser,4.49E-09,sul,rel
thr,4.34E-09,sul,rel
trp,-2.84E-09,sul,rel
tyr,1.50E-09,sul,rel
val,-4.79E-09,sul,rel
trp,204.2,none,wei
ser,105.1,none,wei
glu,147.1,none,wei
ala,89.1,none,wei
asp,133.1,none,wei
asn,132.1,none,wei
tyr,181.2,none,wei
ile,131.2,none,wei
gly,75.1,none,wei
val,117.2,none,wei
phe,165.2,none,wei
met,149.2,none,wei
lys,146.2,none,wei
gln,146.2,none,wei
his,155.2,none,wei
pro,115.1,none,wei
cys,121.2,none,wei
thr,119.1,none,wei
leu,131.2,none,wei
arg,174.2,none,wei
